All Companies,Screener,Symbol,Lot Size (Feb 2026),Lot Size (Mar 2026),Lot Size (Apr 2026)
"Bajaj Holdings & Investments","https://scanx.trade/company/bajaj-holdings-and-investments-ltd","BAJAJHLDNG","50","50","50"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","BAJFINANCE","750","750","750"
"Bandhan Bank","https://scanx.trade/company/bandhan-bank-ltd","BANDHANBNK","3600","3600","3600"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","BANKBARODA","2925","2925","2925"
"Bank of India","https://scanx.trade/company/bank-of-india-ltd","BANKINDIA","5200","5200","5200"
"Bharat Dynamics","https://scanx.trade/company/bharat-dynamics-ltd","BDL","350","350","350"
"Bharat Electronics","https://scanx.trade/company/bharat-electronics-ltd","BEL","1425","1425","1425"
"Bharat Forge","https://scanx.trade/company/bharat-forge-ltd","BHARATFORG","500","500","500"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","BHARTIARTL","475","475","475"
"Bharat Heavy Electricals","https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd","BHEL","2625","2625","2625"
"Biocon","https://scanx.trade/company/biocon-ltd","BIOCON","2500","2500","2500"
"Blue Star","https://scanx.trade/company/blue-star-ltd","BLUESTARCO","325","325","325"
"Bosch","https://scanx.trade/company/bosch-ltd","BOSCHLTD","25","25","25"
"Bharat Petroleum","https://scanx.trade/company/bharat-petroleum-ltd","BPCL","1975","1975","1975"
"Britannia Industries","https://scanx.trade/company/britannia-industries-ltd","BRITANNIA","125","125","125"
"BSE","https://scanx.trade/company/bse-ltd","BSE","375","375","375"
"CAMS","https://scanx.trade/company/cams-ltd","CAMS","750","750","750"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","CANBK","6750","6750","6750"
"CDSL","https://scanx.trade/company/central-depository-services-ltd","CDSL","475","475","475"
"CG Power & Industrial Solutions","https://scanx.trade/company/cg-power-and-industrial-solutions-ltd","CGPOWER","850","850","850"
"Cholamandalam Investment","https://scanx.trade/company/cholamandalam-investment-ltd","CHOLAFIN","625","625","625"
"Cipla","https://scanx.trade/company/cipla-ltd","CIPLA","375","375","375"
"Coal India","https://scanx.trade/company/coal-india-ltd","COALINDIA","1350","1350","1350"
"Coforge","https://scanx.trade/company/coforge-ltd","COFORGE","375","375","375"
"Colgate Palmolive","https://scanx.trade/company/colgate-palmolive-ltd","COLPAL","225","225","225"
"Container Corporation of India","https://scanx.trade/company/container-corporation-of-india-ltd","CONCOR","1250","1250","1250"
"Crompton Greaves","https://scanx.trade/company/crompton-greaves-consumer-electricals-ltd","CROMPTON","1800","1800","1800"
"Cummins","https://scanx.trade/company/cummins-india-ltd","CUMMINSIND","200","200","200"
"Dabur India","https://scanx.trade/company/dabur-india-ltd","DABUR","1250","1250","1250"
"Dalmia Bharat","https://scanx.trade/company/dalmia-bharat-ltd","DALBHARAT","325","325","325"
"Delhivery","https://scanx.trade/company/delhivery-ltd","DELHIVERY","2075","2075","2075"
"Divis Laboratories","https://scanx.trade/company/divis-laboratories-ltd","DIVISLAB","100","100","100"
"Dixon Technologies","https://scanx.trade/company/dixon-technologies-ltd","DIXON","50","50","50"
"DLF","https://scanx.trade/company/dlf-ltd","DLF","825","825","825"
"Avenue Supermarts DMart","https://scanx.trade/company/dmart-avenue-supermarts-ltd","DMART","150","150","150"
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","DRREDDY","625","625","625"
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","EICHERMOT","100","100","100"
"Eternal","https://scanx.trade/company/zomato-ltd","ETERNAL","2425","2425","2425"
"Exide Industries","https://scanx.trade/company/exide-industries-ltd","EXIDEIND","1800","1800","1800"
"Federal Bank","https://scanx.trade/company/federal-bank-ltd","FEDERALBNK","5000","5000","5000"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","FORTIS","775","775","775"
"GAIL","https://scanx.trade/company/gail-ltd","GAIL","3150","3150","3150"
"Glenmark Pharmaceuticals","https://scanx.trade/company/glenmark-pharmaceuticals-ltd","GLENMARK","375","375","375"
"GMR Airports","https://scanx.trade/company/gmr-infrastructure-ltd","GMRAIRPORT","6975","6975","6975"
"Godrej Consumer Products","https://scanx.trade/company/godrej-consumer-products-ltd","GODREJCP","500","500","500"
"Godrej Properties","https://scanx.trade/company/godrej-properties-ltd","GODREJPROP","275","275","275"
"Grasim Industries","https://scanx.trade/company/grasim-industries-ltd","GRASIM","250","250","250"
"Hindustan Aeronautics","https://scanx.trade/company/hal-hindustan-aeronautics-ltd","HAL","150","150","150"
"Havells","https://scanx.trade/company/havells-india-ltd","HAVELLS","500","500","500"
"HCL Technologies","https://scanx.trade/company/hcl-technologies-ltd","HCLTECH","350","350","350"
"HDFC AMC","https://scanx.trade/company/hdfc-asset-management-company-ltd","HDFCAMC","300","300","300"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","HDFCBANK","550","550","550"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","HDFCLIFE","1100","1100","1100"
"Hero Motocorp","https://scanx.trade/company/hero-motocorp-ltd","HEROMOTOCO","150","150","150"
"Hindalco Industries","https://scanx.trade/company/hindalco-industries-ltd","HINDALCO","700","700","700"
"Hindustan Petroleum","https://scanx.trade/company/hindustan-petroleum-ltd","HINDPETRO","2025","2025","2025"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","HINDUNILVR","300","300","300"
"Hindustan Zinc","https://scanx.trade/company/hindustan-zinc-ltd","HINDZINC","1225","1225","1225"
"HUDCO","https://scanx.trade/company/housing-urban-development-corporation-ltd","HUDCO","2775","2775","2775"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","ICICIBANK","700","700","700"
"ICICI Lombard General Insurance","https://scanx.trade/company/icici-lombard-general-insurance-ltd","ICICIGI","325","325","325"
"ICICI Prudential Life Insurance","https://scanx.trade/company/icici-prudential-life-insurance-ltd","ICICIPRULI","925","925","925"
"Vodafone Idea","https://scanx.trade/company/vodafone-idea-ltd","IDEA","71475","71475","71475"
"IDFC First Bank","https://scanx.trade/company/idfc-first-bank-ltd","IDFCFIRSTB","9275","9275","9275"
"Indian Energy Exchange","https://scanx.trade/company/indian-energy-exchange-ltd","IEX","3750","3750","3750"
"Indian Hotels Company","https://scanx.trade/company/indian-hotels-company-ltd","INDHOTEL","1000","1000","1000"
"Indian Bank","https://scanx.trade/company/indian-bank-ltd","INDIANB","1000","1000","1000"
"Interglobe Aviation","https://scanx.trade/company/indigo-interglobe-aviation-ltd","INDIGO","150","150","150"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","INDUSINDBK","700","700","700"
"Indus Towers","https://scanx.trade/company/bharti-infratel-ltd","INDUSTOWER","1700","1700","1700"
"Infosys","https://scanx.trade/company/infosys-ltd","INFY","400","400","400"
"Inox Wind","https://scanx.trade/company/inox-wind-ltd","INOXWIND","3575","3575","3575"
"Indian Oil Corporation","https://scanx.trade/company/indian-oil-corporation-ltd","IOC","4875","4875","4875"
"IRCTC","https://scanx.trade/company/irctc-ltd","IRCTC","875","-","-"
"IREDA","https://scanx.trade/company/ireda-ltd","IREDA","3450","3450","3450"
"IRFC","https://scanx.trade/company/indian-railway-finance-corp-ltd","IRFC","4250","4250","4250"
"ITC","https://scanx.trade/company/itc-ltd","ITC","1600","1600","1600"
"Jindal Steel","https://scanx.trade/company/jindal-steel-ltd","JINDALSTEL","625","625","625"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","JIOFIN","2350","2350","2350"
"JSW Energy","https://scanx.trade/company/jsw-energy-ltd","JSWENERGY","1000","1000","1000"
"JSW Steel","https://scanx.trade/company/jsw-steel-ltd","JSWSTEEL","675","675","675"
"Jubilant FoodWorks","https://scanx.trade/company/jubilant-foodworks-ltd","JUBLFOOD","1250","1250","1250"
"Kalyan Jewellers","https://scanx.trade/company/kalyan-jewellers-ltd","KALYANKJIL","1175","1175","1175"
"Kaynes Technology India","https://scanx.trade/company/kaynes-technology-ltd","KAYNES","100","100","100"
"KEI Industries","https://scanx.trade/company/kei-industries-ltd","KEI","175","175","175"
"KFin Technologies","https://scanx.trade/company/kfin-technologies-ltd","KFINTECH","500","500","500"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","KOTAKBANK","2000","2000","2000"
"KPIT Technologies","https://scanx.trade/company/kpit-technologies-ltd","KPITTECH","425","425","425"
"Laurus Labs","https://scanx.trade/company/laurus-labs-ltd","LAURUSLABS","850","850","850"
"LIC Housing Finance","https://scanx.trade/company/lic-housing-finance-ltd","LICHSGFIN","1000","1000","1000"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","LICI","700","700","700"
"Lodha Developers","https://scanx.trade/company/macrotech-developers-ltd","LODHA","450","450","450"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","LT","175","175","175"
"L&T Finance","https://scanx.trade/company/lt-finance-holdings-ltd","LTF","2250","2250","2250"
"LTI Mindtree","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","LTIM","150","150","150"
"Lupin","https://scanx.trade/company/lupin-ltd","LUPIN","425","425","425"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","M&M","200","200","200"
"Manappuram Finance","https://scanx.trade/company/manappuram-finance-ltd","MANAPPURAM","3000","3000","3000"
"Mankind Pharma","https://scanx.trade/company/mankind-pharma-ltd","MANKIND","225","225","225"
"Marico","https://scanx.trade/company/marico-ltd","MARICO","1200","1200","1200"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","MARUTI","50","50","50"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","MAXHEALTH","525","525","525"
"Mazagon Dock Shipbuilders","https://scanx.trade/company/mazagon-dock-shipbuilders-ltd","MAZDOCK","200","200","200"
"MCX","https://scanx.trade/company/multi-commodity-exchange-ltd","MCX","625","625","625"
"Max Financial Services","https://scanx.trade/company/max-financial-services-ltd","MFSL","400","400","400"
"Samvardhana Motherson International","https://scanx.trade/company/motherson-sumi-systems-ltd","MOTHERSON","6150","6150","6150"
"Mphasis","https://scanx.trade/company/mphasis-ltd","MPHASIS","275","275","275"
"Muthoot Finance","https://scanx.trade/company/muthoot-finance-ltd","MUTHOOTFIN","275","275","275"
"NALCO","https://scanx.trade/company/national-aluminium-company-ltd","NATIONALUM","3750","3750","3750"
"Info Edge","https://scanx.trade/company/naukri-info-edge-ltd","NAUKRI","375","375","375"
"NBCC","https://scanx.trade/company/nbcc-ltd","NBCC","6500","6500","6500"
"Nestle","https://scanx.trade/company/nestle-india-ltd","NESTLEIND","500","500","500"
"NHPC","https://scanx.trade/company/nhpc-ltd","NHPC","6400","6400","6400"
"NMDC","https://scanx.trade/company/nmdc-ltd","NMDC","6750","6750","6750"
"NTPC","https://scanx.trade/company/ntpc-ltd","NTPC","1500","1500","1500"
"Nuvama Wealth Management","https://scanx.trade/company/nuvama-wealth-management-ltd","NUVAMA","500","500","500"
"Nykaa","https://scanx.trade/company/nykaa-ltd","NYKAA","3125","3125","3125"
"Oberoi Realty","https://scanx.trade/company/oberoi-realty-ltd","OBEROIRLTY","350","350","350"
"Oracle Financial Services Software","https://scanx.trade/company/oracle-financial-services-software-ltd","OFSS","75","75","75"
"Oil India","https://scanx.trade/company/oil-india-ltd","OIL","1400","1400","1400"
"Oil & Natural Gas Corporation","https://scanx.trade/company/oil-natural-gas-corporation-ltd","ONGC","2250","2250","2250"
"Page Industries","https://scanx.trade/company/page-industries-ltd","PAGEIND","15","15","15"
"Patanjali Foods","https://scanx.trade/company/ruchi-soya-industries-ltd","PATANJALI","900","900","900"
"One 97 Communications","https://scanx.trade/company/paytm-ltd","PAYTM","725","725","725"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","PERSISTENT","100","100","100"
"Petronet LNG","https://scanx.trade/company/petronet-lng-ltd","PETRONET","1900","1900","1900"
"Power Finance Corporation","https://scanx.trade/company/power-finance-corporation-ltd","PFC","1300","1300","1300"
"PG Electroplast","https://scanx.trade/company/pg-electroplast-ltd","PGEL","950","950","950"
"Phoenix Mills","https://scanx.trade/company/phoenix-mills-ltd","PHOENIXLTD","350","350","350"
"Pidilite Industries","https://scanx.trade/company/pidilite-industries-ltd","PIDILITIND","500","500","500"
"PI Industries","https://scanx.trade/company/pi-industries-ltd","PIIND","175","175","175"
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","PNB","8000","8000","8000"
"PNB Housing Finance","https://scanx.trade/company/pnb-housing-finance-ltd","PNBHOUSING","650","650","650"
"PB FinTech","https://scanx.trade/company/policy-bazaar-ltd","POLICYBZR","350","350","350"
"Polycab","https://scanx.trade/company/polycab-india-ltd","POLYCAB","125","125","125"
"Power Grid Corporation of India","https://scanx.trade/company/power-grid-corporation-of-india-ltd","POWERGRID","1900","1900","1900"
"Hitachi Energy","https://scanx.trade/company/abb-power-products-systems-ltd","POWERINDIA","50","50","50"
"Piramal Pharma","https://scanx.trade/company/piramal-pharma-ltd","PPLPHARMA","2625","2625","2625"
"Premier Energies","https://scanx.trade/company/premier-energies-ltd","PREMIERENE","575","575","575"
"Prestige Estates Projects","https://scanx.trade/company/prestige-estate-ltd","PRESTIGE","450","450","450"
"RBL Bank","https://scanx.trade/company/rbl-bank-ltd","RBLBANK","3175","3175","3175"
"REC","https://scanx.trade/company/rural-electrification-corporation-ltd","RECLTD","1400","1400","1400"
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","RELIANCE","500","500","500"
"Rail Vikas Nigam","https://scanx.trade/company/rail-vikas-nigam-ltd","RVNL","1525","1525","1525"
"Steel Authority of India","https://scanx.trade/company/steel-authority-of-india-ltd","SAIL","4700","4700","4700"
"Sammaan Capital","https://scanx.trade/company/indiabulls-housing-finance-ltd","SAMMAANCAP","4300","4300","4300"
"SBI Cards","https://scanx.trade/company/sbi-cards-ltd","SBICARD","800","800","800"
"SBI Life Insurance","https://scanx.trade/company/sbi-life-insurance-ltd","SBILIFE","375","375","375"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","SBIN","750","750","750"
"Shree Cement","https://scanx.trade/company/shree-cement-ltd","SHREECEM","25","25","25"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","SHRIRAMFIN","825","825","825"
"Siemens","https://scanx.trade/company/siemens-ltd","SIEMENS","175","175","175"
"Solar Industries","https://scanx.trade/company/solar-industries-ltd","SOLARINDS","50","50","50"
"Sona BLW Precision Forgings","https://scanx.trade/company/sona-blw-precision-forgings-ltd","SONACOMS","1225","1225","1225"
"SRF","https://scanx.trade/company/srf-ltd","SRF","200","200","200"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","SUNPHARMA","350","350","350"
"Supreme Industries","https://scanx.trade/company/supreme-industries-ltd","SUPREMEIND","175","175","175"
"Suzlon Energy","https://scanx.trade/company/suzlon-ltd","SUZLON","9025","9025","9025"
"Swiggy","https://scanx.trade/company/swiggy-ltd","SWIGGY","1300","1300","1300"
"Syngene International","https://scanx.trade/company/syngene-international-ltd","SYNGENE","1000","1000","-"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","TATACONSUM","550","550","550"
"Tata Elxsi","https://scanx.trade/company/tata-elxsi-ltd","TATAELXSI","100","100","100"
"Tata Power","https://scanx.trade/company/tata-power-ltd","TATAPOWER","1450","1450","1450"
"Tata Steel","https://scanx.trade/company/tata-steel-ltd","TATASTEEL","5500","5500","5500"
"Tata Technologies","https://scanx.trade/company/tata-technologies-ltd","TATATECH","800","800","800"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","TCS","175","175","175"
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","TECHM","600","600","600"
"Tube Investment","https://scanx.trade/company/tube-invest-of-india-ltd","TIINDIA","200","200","200"
"Titan","https://scanx.trade/company/titan-ltd","TITAN","175","175","175"
"Tata Motors Passenger Vehicles","https://scanx.trade/company/tata-motors-passenger-vehicles-ltd","TMPV","800","800","800"
"Torrent Pharmaceuticals","https://scanx.trade/company/torrent-pharmaceuticals-ltd","TORNTPHARM","250","250","250"
"Torrent Power","https://scanx.trade/company/torrent-power-ltd","TORNTPOWER","425","425","425"
"Trent","https://scanx.trade/company/trent-ltd","TRENT","100","100","100"
"TVS Motors","https://scanx.trade/company/tvs-motors-ltd","TVSMOTOR","175","175","175"
"UltraTech Cement","https://scanx.trade/company/ultratech-cement-ltd","ULTRACEMCO","50","50","50"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","UNIONBANK","4425","4425","4425"
"United Spirits","https://scanx.trade/company/united-spirits-ltd","UNITDSPR","400","400","400"
"UNO Minda","https://scanx.trade/company/minda-industries-ltd","UNOMINDA","550","550","550"
"UPL","https://scanx.trade/company/upl-united-phosphorus-ltd","UPL","1355","1355","1355"
"Varun Beverages","https://scanx.trade/company/varun-beverages-ltd","VBL","1125","1125","1125"
"Vedanta","https://scanx.trade/company/vedanta-ltd","VEDL","1150","1150","1150"
"Voltas","https://scanx.trade/company/voltas-ltd","VOLTAS","375","375","375"
"Waaree Energies","https://scanx.trade/company/waaree-energies-ltd","WAAREEENER","175","175","175"
"Wipro","https://scanx.trade/company/wipro-ltd","WIPRO","3000","3000","3000"
"Yes Bank","https://scanx.trade/company/yes-bank-ltd","YESBANK","31100","31100","31100"
"Zydus Life Science","https://scanx.trade/company/cadila-healthcare-ltd","ZYDUSLIFE","900","900","900"
